tfe_mean,tfe_lwr,tfe_upr
1.273,0.646,1.9
2.231,1.588,2.873
2.034,1.39,2.678
1.926,1.295,2.557
2.539,1.907,3.172
1.203,0.566,1.84
1.328,0.701,1.954
1.634,1.009,2.26
1.296,0.674,1.918
1.307,0.687,1.928
1.141,0.521,1.762
1.227,0.607,1.847
1.28,0.66,1.9
1.375,0.754,1.996
1.609,0.987,2.23
2.937,2.308,3.567
2.864,2.247,3.481
2.685,2.068,3.301
2.408,1.793,3.023
2.844,2.231,3.458
2.648,2.037,3.26
3.463,2.844,4.082
4.099,3.482,4.716
3.857,3.238,4.477
3.295,2.683,3.906
3.559,2.949,4.17
3.218,2.606,3.83
3.228,2.617,3.839
3.077,2.465,3.689
3.675,3.066,4.284
3.244,2.63,3.859
3.829,3.218,4.441
4.069,3.456,4.682
1.171,0.522,1.819
1.691,1.051,2.331
1.492,0.853,2.132
1.579,0.957,2.201
2.036,1.416,2.656
1.818,1.198,2.438
2.175,1.555,2.795
3.307,2.679,3.936
2.577,1.959,3.195
1.483,0.85,2.116
1.807,1.174,2.44
1.477,0.847,2.108
1.511,0.879,2.143
2.453,1.835,3.071
2.57,1.948,3.191
2.438,1.807,3.068
3.066,2.431,3.701
3.349,2.71,3.989
2.05,1.417,2.682
2.477,1.849,3.105
2.303,1.677,2.928
2.053,1.429,2.678
2.519,1.898,3.14
2.34,1.721,2.96
2.689,2.07,3.309
3.333,2.713,3.952
3.113,2.492,3.734
3.421,2.795,4.047
3.753,3.126,4.38
3.442,2.815,4.068
3.443,2.82,4.066
3.11,2.485,3.734
3.2,2.577,3.824
3.253,2.63,3.876
3.366,2.743,3.989
4.135,3.506,4.764
3.456,2.785,4.126
3.89,3.214,4.565
3.672,2.995,4.349
3.85,3.186,4.514
4.454,3.791,5.117
4.712,4.038,5.386
4.147,3.486,4.808
4.448,3.787,5.109
4.105,3.445,4.765
4.598,3.938,5.259
3.947,3.288,4.607
4.039,3.379,4.699
4.088,3.428,4.748
4.671,4.009,5.332
4.924,4.262,5.585
2.411,1.795,3.027
2.82,2.205,3.435
3.1,2.469,3.73
2.318,1.705,2.93
2.776,2.165,3.387
2.552,1.942,3.162
2.901,2.29,3.511
3.535,2.925,4.146
3.252,2.641,3.863
3.189,2.578,3.8
3.482,2.87,4.093
3.159,2.548,3.769
3.169,2.559,3.778
2.99,2.38,3.601
3.082,2.47,3.695
3.644,3.028,4.26
3.927,3.286,4.567
3.695,3.056,4.334
3.916,3.038,4.794
4.333,3.463,5.203
4.182,3.316,5.047
3.952,3.093,4.811
4.407,3.553,5.26
4.232,3.384,5.08
6.278,5.304,7.252
6.273,5.335,7.212
6.426,5.513,7.34
2.666,1.944,3.388
3.034,2.312,3.755
2.905,2.188,3.622
2.654,1.939,3.37
3.057,2.341,3.774
2.918,2.205,3.631
3.267,2.556,3.979
3.871,3.159,4.582
4.987,4.263,5.711
5.549,4.812,6.286
5.372,4.639,6.105
5.069,4.333,5.805
5.651,4.905,6.398
2.254,1.619,2.889
2.078,1.445,2.71
1.818,1.188,2.448
2.245,1.617,2.873
2.034,1.409,2.66
2.358,1.732,2.984
2.963,2.338,3.588
3.192,2.551,3.832
2.618,1.993,3.243
2.912,2.287,3.538
2.581,1.957,3.205
2.6,1.977,3.224
2.442,1.818,3.067
2.541,1.914,3.167
2.589,1.961,3.216
3.17,2.538,3.802
3.606,2.946,4.266
2.91,2.264,3.555
3.642,3.015,4.27
3.46,2.834,4.087
3.222,2.599,3.844
3.52,2.903,4.136
3.302,2.688,3.917
3.636,3.022,4.25
4.262,3.649,4.875
4.035,3.424,4.647
4.489,3.865,5.112
4.423,3.804,5.042
4.507,3.894,5.119
4.496,3.886,5.106
3.821,3.212,4.431
3.864,3.254,4.475
3.968,3.357,4.579
4.577,3.965,5.189
4.865,4.249,5.481
3.898,3.248,4.549
5.102,4.452,5.752
4.408,3.767,5.049
4.131,3.49,4.772
4.441,3.811,5.072
4.314,3.695,4.933
4.686,4.07,5.301
5.85,5.23,6.47
5.159,4.546,5.771
5.614,4.991,6.237
5.469,4.854,6.084
5.174,4.554,5.794
5.193,4.574,5.812
5.032,4.412,5.652
5.612,4.995,6.229
5.169,4.55,5.788
5.755,5.139,6.371
5.993,5.376,6.609
2.042,1.371,2.713
4.924,4.268,5.579
3.351,2.724,3.977
3.101,2.475,3.726
3.561,2.937,4.185
3.322,2.701,3.944
3.638,3.018,4.258
5.58,4.928,6.233
3.964,3.343,4.586
5.252,4.599,5.904
4.563,3.938,5.187
4.741,4.118,5.363
4.769,4.15,5.388
4.613,3.994,5.233
